Authors,Year,Title,DOI,URL
M. I. Jambak and P. S. Setiawan,2018,The development of bahasa Indonesia corpora for machine learning model in combating cyber bullying: A case study of the Indonesian 2017 capital city governor election,,http://www.jatit.org/volumes/Vol96No7/19Vol96No7.pdf
"R. P. Kusumawardani, S. Priansya and F. J. Atletiko",2018,Context-sensitive normalization of social media text in bahasa Indonesia based on neural word embeddings,10.1016/j.procs.2018.10.510,https://www.sciencedirect.com/science/article/pii/S1877050918322191
R. Maskat and Y. Munarko,2019,A taxonomy of Malay social media text,10.11591/ijeecs.v16.i1.pp465-472,https://pdfs.semanticscholar.org/26fe/7c47fa7ce746a4c9db229a9be6e822f33822.pdf
"N. Omar, A. F. Hamsani, N. A. S. Abdullah and S. Z. Z. Abidin",2017,Construction of Malay abbreviation corpus based on social media data,10.3923/jeasci.2017.468.474,https://www.medwelljournals.com/abstract/?doi=jeasci.2017.468.474
"Y. C. Phang, A. M. Kassim and E. Mangantig",2021,"Concerns of thalassemia patients, carriers, and their caregivers in malaysia: Text mining information shared on social media",10.4258/HIR.2021.27.3.200,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8369049/
"S. J. Putra, I. Khalil, M. N. Gunawan, R. l. Amin and T. Sutabri",2018,A hybrid model for social media sentiment analysis for Indonesian text,10.1145/3282373.3282850,https://dl.acm.org/doi/10.1145/3282373.3282850
"M. S. M. Suhaimin, M. H. A. Hijazi, R. Alfred and F. Coenen",2017,Natural language processing based features for sarcasm detection: An investigation using bilingual social media texts,10.1109/ICITECH.2017.8079931,https://ieeexplore.ieee.org/document/8079931/
"M. S. M. Suhaimin, M. H. A. Hijazi, R. Alfred and F. Coenen",2019,Modified framework for sarcasm detection and classification in sentiment analysis,10.11591/ijeecs.v13.i3.pp1175-1183,http://ijeecs.iaescore.com/index.php/IJEECS/article/view/17000
"Z. Ahmad, S. L. Lutfi, A. L. Kushan, M. H. Khairuddin, A. F. Zolkeplay, M. H. Rahmat and M. T. Mishan",2017,Construction of the Malay language psychometric properties using LIWC from facebook statuses,10.1166/asl.2017.9607,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032213347&doi=10.1166%2fasl.2017.9607&partnerID=40&md5=e3111c537e37b555460cd5778addb456
"N. F. Shamsudin, H. Basiron and Z. Sa'aya",2016,"Lexical based sentiment analysis - Verb, adverb & negation",,https://jtec.utem.edu.my/jtec/article/view/976
"Afiyati, E. Winarko and A. Cherid",2018,Recognizing the sarcastic statement on WhatsApp Group with Indonesian language text,10.1109/BCWSP.2017.8272579,https://ieeexplore.ieee.org/document/8272579/
"A. Briliani, B. Irawan and C. Setianingsih",2019,Hate speech detection in indonesian language on instagram comment section using K-nearest neighbor classification method,10.1109/IoTaIS47347.2019.8980398,https://ieeexplore.ieee.org/document/8980398/
"S. P. P. Bunga Batara, B. Irawan and C. Setianingsih",2019,Hate speech detection in Indonesian language on instagram comment section using deep neural network classification method,10.1109/APWiMob48441.2019.8964197,https://ieeexplore.ieee.org/document/8964197/
"E. Erizal, B. Irawan and C. Setianingsih",2019,Hate speech detection in Indonesian language on instagram comment section using maximum entropy classification method,10.1109/ICOIACT46704.2019.8938593,https://ieeexplore.ieee.org/document/8938593/
"N. I. Pratiwi, I. Budi and I. Alfina",2019,Hate speech detection on Indonesian instagram comments using FastText approach,10.1109/ICACSIS.2018.8618182,https://ieeexplore.ieee.org/document/8618182/
I. G. M. Putra and D. Nurjanah,2020,Hate speech detection in Indonesian language instagram,10.1109/ICACSIS51025.2020.9263084,https://ieeexplore.ieee.org/document/9263084/
"R. Amalia, M. A. Bijaksana and D. Darmantoro",2018,Negation handling in sentiment classification using rule-based adapted from Indonesian language syntactic for Indonesian text in Twitter,10.1088/1742-6596/971/1/012039,https://iopscience.iop.org/article/10.1088/1742-6596/971/1/012039/meta
"W. W. Ariestya, I. Astuti and I. M. Wiryana",2018,Preprocessing for crawler of short message social media,10.1109/IAC.2018.8780451,https://ieeexplore.ieee.org/document/8780451/
Asniar and B. R. Aditya,2017,A Framework for Sentiment Analysis Implementation of Indonesian Language Tweet on Twitter,http://dx.doi.org/10.1088/1742-6596/801/1/012065,https://iopscience.iop.org/article/10.1088/1742-6596/801/1/012065/meta
"V. Balakrishnan, M. Kaity, H. A. Rahim and N. Ismail",2021,Social Media Analytics using Sentiment and Content Analyses on The 2018 Malaysia’s General Election,10.22452/mjcs.vol34no2.3,http://ajba.um.edu.my/index.php/MJCS/article/view/29763
"I. N. Dewi, R. Nurcahyo and Farizal",2020,Word Cloud Result of Mobile Payment User Review in Indonesia,10.1109/ICIEA49774.2020.9102048,https://ieeexplore.ieee.org/document/9102048/
"L. Farsiah, Y.-S. Chen and A. Misbullah",2020,Multi-Classes Emotion Detection for Unbalanced Indonesian Tweets,10.1109/ICELTICs50595.2020.9315403,https://ieeexplore.ieee.org/document/9315403/
M. A. Fauzi and A. Yuniarti,2018,Ensemble method for indonesian twitter hate speech detection,10.11591/ijeecs.v11.i1.pp294-299,https://www.researchgate.net/profile/Muhammad-Fauzi-6/publication/325414504_Ensemble_Method_for_Indonesian_Twitter_Hate_Speech_Detection/links/5b55565b0f7e9b240ffd71a9/Ensemble-Method-for-Indonesian-Twitter-Hate-Speech-Detection.pdf
"R. Ferdiana, W. Fajar, D. D. Purwanti, A. S. T. Ayu and F. Jatmiko",2019,Twitter sentiment analysis in under-resourced languages using byte-level recurrent neural model,10.14569/ijacsa.2019.0100815,https://www.researchgate.net/profile/Wiliam-Fajar/publication/335697833_Twitter_Sentiment_Analysis_in_Under-Resourced_Languages_using_Byte-Level_Recurrent_Neural_Model/links/5e30d7e9458515072d6aaae6/Twitter-Sentiment-Analysis-in-Under-Resourced-Languages-using-Byte-Level-Recurrent-Neural-Model.pdf
"D. Fitrianah, D. Jatikusumo and I. Nurhaida",2020,D-Loc Apps: A Location Detection Application Based on Social Media Platform in the Event of A Flood Disaster,10.1145/3379310.3381041,https://dl.acm.org/doi/10.1145/3379310.3381041
"Herlawati, R. T. Handayanto, D. Setiyadi and E. Retnoningsih",2019,Corpus Usage for Sentiment Analysis of a Hashtag Twitter,10.1109/ICIC47613.2019.8985772,https://ieeexplore.ieee.org/document/8985772/
"A. F. Hidayatullah, E. C. Pembrani, W. Kurniawan, G. Akbar and R. Pranata",2018,Twitter Topic Modeling on Football News,10.1109/CCOMS.2018.8463231,https://ieeexplore.ieee.org/document/8463231/
A. H. Hossny and L. Mitchell,2019,Event detection in twitter: A keyword volume approach,10.1109/ICDMW.2018.00172,https://ieeexplore.ieee.org/document/8637560
M. O. Ibrohim and I. Budi,2019,Multi-label Hate Speech and Abusive Language Detection in Indonesian Twitter,10.18653/v1/W19-3506,https://aclanthology.org/W19-3506
"M. O. Ibrohim, M. A. Setiadi and I. Budi",2019,"Identification of hate speech and abusive language on Indonesian Twitter using the Word2vec, part of speech and emoji features",10.1145/3373477.3373495,https://dl.acm.org/doi/10.1145/3373477.3373495
"N. O. Idris, Widyawan and T. B. Adji",2019,Classification of Radicalism Content from Twitter Written in Indonesian Language using Long Short Term Memory,10.1109/ICICoS48119.2019.8982498,https://ieeexplore.ieee.org/document/8982498/
B. H. Iswanto and V. Poerwoto,2018,Sentiment analysis on Bahasa Indonesia tweets using Unibigram models and machine learning techniques,http://dx.doi.org/10.1088/1757-899X/434/1/012255,https://iopscience.iop.org/article/10.1088/1757-899X/434/1/012255/meta
"N. S. Jamil, S. S. Kamaruddin and F. K. Ahmad",2019,Social tension and crime related events detection method on twitter,10.30534/ijatcse/2019/23862019,https://www.researchgate.net/publication/338363878_Social_Tension_and_Crime_Related_Events_Detection_Method_on_Twitter
M. A. Jiwanggi and M. Adriani,2016,Topic Summarization of Microblog Document in Bahasa Indonesia using the Phrase Reinforcement Algorithm,10.1016/j.procs.2016.04.054,https://www.sciencedirect.com/science/article/pii/S1877050916300680
W. Kaur and V. Balakrishnan,2016,Bilingual sentiment detection - Investigating impact of tweet translation,10.3233/978-1-61499-637-8-105,http://eprints.um.edu.my/15865/1/0001.pdf
N. F. S. Khalid and N. A. Rahim,2021,"Pola Penggunaan Bahasa Melayu dalam Twitter Mantan Perdana Menteri Ke-enam, Dato’ Seri Najib Razak (Patterns of malay language usage on twitter of former sixth prime minister, dato 'seri najib razak)",10.17576/JKMJC-2021-3702-12,http://journalarticle.ukm.my/16977/1/33755-159611-1-PB.pdf
"D. A. Kristiyanti, A. H. Umam, M. Wahyudi, R. Amin and L. Marlinda",2019,Comparison of SVM Naïve Bayes Algorithm for Sentiment Analysis Toward West Java Governor Candidate Period 2018-2023 Based on Public Opinion on Twitter,10.1109/CITSM.2018.8674352,https://ieeexplore.ieee.org/document/8674352/
F. W. Kurniawan and W. Maharani,2020,Indonesian Twitter Sentiment Analysis Using Word2Vec,10.1109/ICoDSA50139.2020.9212906,https://ieeexplore.ieee.org/document/9212906/
R. P. Kusumawardani and M. W. Maulidani,2020,Aspect-level Sentiment Analysis for Social Media Data in the Political Domain using Hierarchical Attention and Position Embeddings,10.1109/ICoDSA50139.2020.9212883,https://ieeexplore.ieee.org/document/9212883/
N. Maulidiah Elfajr and R. Sarno,2018,Sentiment Analysis Using Weighted Emoticons and SentiWordNet for Indonesian Language,10.1109/ISEMANTIC.2018.8549703,https://ieeexplore.ieee.org/document/8549703/
"A. K. Mohamad, M. Jayakrishnan and N. H. Nawi",2020,Employ twitter data to perform sentiment analysis in the malay language,10.30534/ijatcse/2020/76922020,http://dx.doi.org/10.30534/ijatcse/2020/76922020
"A. K. Mohamad, M. Jayakrishnan and N. H. Nawi",2020,Classification of twitter data by sentiment analysis in the malay language,10.30534/ijeter/2020/83862020,http://www.warse.org/IJETER/static/pdf/file/ijeter83862020.pdf
"M. Z. Nasrudin, R. Maskat and R. Musa",2019,"Detecting candidates of depression, anxiety and stress through Malay-written tweets: A preliminary study",10.11591/ijeecs.v16.i2.pp787-793,http://ijeecs.iaescore.com/index.php/IJEECS/article/view/19995
"V. Ong, A. D. S. Rahmanto, Williem, D. Suhartono, A. E. Nugroho, E. W. Andangsari and M. N. Suprayogi",2017,Personality prediction based on Twitter information in Bahasa Indonesia,10.15439/2017F359,https://ieeexplore.ieee.org/document/8104567/
"V. Ong, A. D. S. Rahmanto, W. Williem, N. H. Jeremy, D. Suhartono and E. W. Andangsari",2021,Personality Modelling of Indonesian Twitter Users with XGBoost Based on the Five Factor Model,10.22266/ijies2021.0430.22,http://www.inass.org/2021/2021043022.pdf
"F. C. Permana, Y. Rosmansyah and A. S. Abdullah",2017,Naive Bayes as opinion classifier to evaluate students satisfaction based on student sentiment in Twitter Social Media,http://dx.doi.org/10.1088/1742-6596/893/1/012051,https://iopscience.iop.org/article/10.1088/1742-6596/893/1/012051/meta
"F. A. Prabowo, M. O. Ibrohim and I. Budi",2019,Hierarchical multi-label classification to identify hate speech and abusive language on Indonesian twitter,10.1109/ICITACEE.2019.8904425,https://ieeexplore.ieee.org/document/8904425/
T. Pratama and A. Purwarianti,2017,Topic classification and clustering on Indonesian complaint tweets for bandung government using supervised and unsupervised learning,10.1109/ICAICTA.2017.8090981,https://ieeexplore.ieee.org/document/8090981/
"R. Rahutomo, A. Budiarto, K. Purwandari and A. S. Perbangsa",2020,Ten-year compilation of #savekpk twitter dataset,10.1109/ICIMTech50083.2020.9211246,https://ieeexplore.ieee.org/document/9211246/
"I. Rasyada, Y. Setiowati, A. Barakbah and M. T. Fiddin Al Islami",2020,Sentiment Analysis of BPJS Kesehatan's Services Based on Affective Models,10.1109/IES50839.2020.9231940,https://ieeexplore.ieee.org/document/9231940/
L. Sandra and F. Lumbangaol,2021,When Homecoming is not Coming: 2021 Homecoming Ban Sentiment Analysis on Twitter Data Using Support Vector Machine Algorithm,10.1109/ICISS53185.2021.9533255,https://ieeexplore.ieee.org/document/9533255/
"R. Setik, R. M. T. R. L. Ahmad and S. Marjudi",2021,Aspect-Based Sentiment Analysis for Posts on Friday Prayer during MCO in Malaysia,10.1109/ICOTEN52080.2021.9493449,https://ieeexplore.ieee.org/document/9493449/
"V. Situmorang, T. Elyani, R. Tambunan and Y. Gulto",2019,Applying Opinion Mining Technique on Tourism Study Case: Lake Toba,http://dx.doi.org/10.1088/1742-6596/1175/1/012091,https://iopscience.iop.org/article/10.1088/1742-6596/1175/1/012091/meta
"S. M. M. Sood, T. K. Hua and B. A. Hamid",2020,Cyberbullying through intellect-related insults,10.17576/JKMJC-2020-3601-16,https://ejournal.ukm.my/mjc/article/view/37734
D. Suryadi,2021,Does it make you sad? A lexicon-based sentiment analysis on COVID-19 news tweets,http://dx.doi.org/10.1088/1757-899X/1077/1/012042,https://iopscience.iop.org/article/10.1088/1757-899X/1077/1/012042/meta
W. Suwarningsih and Nuryani,2019,Opinion QA-Pairs Generation from Indonesian Twitter,10.1109/IC3INA.2018.8629516,https://ieeexplore.ieee.org/document/8629516/
"K. S. N. Tan, T. M. Lim and Y. M. Lim",2020,Emotion analysis using self-training on malaysian code-mixed twitter data,,https://www.mendeley.com/catalogue/496d1d4d-571f-343b-b260-45ae824d4ce3/
"Y.-F. Tan, H.-S. Lam, A. Azlan and W. K. Soo",2016,Sentiment analysis for telco popularity on twitter big data using a novel Malaysian dictionary,10.3233/978-1-61499-637-8-112,https://www.researchgate.net/publication/303664514_Sentiment_Analysis_for_Telco_Popularity_on_Twitter_Big_Data_Using_a_Novel_Malaysian_Dictionary
D. A. N. Taradhita and I. K. G. D. Putra,2021,Hate speech classification in Indonesian language tweets by using convolutional neural network,10.5614/itbj.ict.res.appl.2021.14.3.2,https://journals.itb.ac.id/index.php/jictra/article/view/15056
S. M. Tauhid and Y. Ruldeviyani,2020,Sentiment Analysis of Indonesians Response to Influencer in Social Media,10.1109/ICITACEE50144.2020.9239218,https://ieeexplore.ieee.org/document/9239218/
"C. Tho, Y. Heryadi, L. Lukas and A. Wibowo",2021,Code-mixed sentiment analysis of Indonesian language and Javanese language using Lexicon based approach,http://dx.doi.org/10.1088/1742-6596/1869/1/012084,https://www.proquest.com/scholarly-journals/code-mixed-sentiment-analysis-indonesian-language/docview/2515168440/se-2?accountid=8330
A. A. Turdjai and K. Mutijarsa,2017,Simulation of marketplace customer satisfaction analysis based on machine learning algorithms,10.1109/ISEMANTIC.2016.7873830,https://ieeexplore.ieee.org/document/7873830/
"E. Utami, A. D. Hartanto, S. Adi, I. Oyong and S. Raharjo",2019,Profiling analysis of DISC personality traits based on Twitter posts in Bahasa Indonesia,10.1016/j.jksuci.2019.10.008,https://www.sciencedirect.com/science/article/pii/S131915781930744X
"E. Utami, A. D. Hartanto, S. Adi, R. B. Setya Putra and S. Raharjo",2019,Formal and Non-Formal Indonesian Word Usage Frequency in Twitter Profile Using Non-Formal Affix Rule,10.1109/ICORIS.2019.8874908,https://ieeexplore.ieee.org/document/8874908/
"E. Utami, I. Oyong, S. Raharjo, A. Dwi Hartanto and S. Adi",2021,Supervised learning and resampling techniques on DISC personality classification using Twitter information in Bahasa Indonesia,10.1108/ACI-03-2021-0054,https://www.emerald.com/insight/content/doi/10.1108/ACI-03-2021-0054/full/html
D. Vervoort and J. G. Luc,2020,Hashtag Global Surgery: The Role of Social Media in Advancing the Field of Global Surgery,http://dx.doi.org/10.7759/cureus.8468,https://www.proquest.com/scholarly-journals/hashtag-global-surgery-role-social-media/docview/2429377754/se-2?accountid=8330
"E. D. Wahyuni, A. A. Arifiyanti and M. I. Afandi",2020,School from home situation in indonesia: An exploratory data analysis of indonesian tweet data,10.1109/ITIS50118.2020.9320962,https://ieeexplore.ieee.org/document/9320962/
"A. Wenas, S. Sjahputri, T. Bagus, A. Primaldhi and M. Roby",2016,Measuring happiness in large population,http://dx.doi.org/10.1088/1755-1315/31/1/012023,https://iopscience.iop.org/article/10.1088/1742-6596/1844/1/012003/meta
"O. J. Ying, M. M. i. A. Zabidi, N. Ramli and U. U. Sheikh",2020,Sentiment analysis of informal malay tweets with deep learning,10.11591/ijai.v9.i2.pp212-220,https://ijai.iaescore.com/index.php/IJAI/article/view/20435
"Yusra, M. Fikry, B. R. Trilaksono, R. Yendra and A. Fudholi",2017,Music interest classification of twitter users using support vector machine,,https://www.researchgate.net/publication/318093532_Music_interest_classification_of_twitter_users_using_support_vector_machine
"N. I. Zabha, Z. Ayop, S. Anawar, E. Hamid and Z. Z. Abidin",2019,Developing cross-lingual sentiment analysis of Malay Twitter data using lexicon-based approach,10.14569/IJACSA.2019.0100146,https://pdfs.semanticscholar.org/6527/1bb11fa171dce69ac07d5bd1787ad9c88097.pdf
"R. Maskat, M. Faizzuddin Zainal, N. Ismail, N. Ardi, A. Ahmad and N. Daud",2020,"Automatic Labelling of Malay Cyberbullying Twitter Corpus using Combinations of Sentiment, Emotion and Toxicity Polarities",10.1145/3446132.3446412,https://dl.acm.org/doi/10.1145/3446132.3446412
"A. Alamsyah, M. F. Rachman, C. S. Hudaya, R. P. Putra, A. I. Rifkyano and F. Nurwianti",2019,A Progress on the Personality Measurement Model using Ontology based on Social Media Text,10.1109/ICIMTech.2019.8843817,https://ieeexplore.ieee.org/document/8843817/authors
"A. Alamsyah, S. Widiyanesti, R. D. Putra and P. K. Sari",2020,Personality Measurement Design for Ontology Based Platform using Social Media Text,10.25046/aj050313,https://www.academia.edu/download/63203596/ASTESJ_05031320200505-21364-10rjmf4.pdf
"M. I. Eshak, R. Ahmad and A. Sarlan",2018,A preliminary study on hybrid sentiment model for customer purchase intention analysis in social commerce,10.1109/ICBDAA.2017.8284108,https://ieeexplore.ieee.org/document/8284108/
J. J. Lasiman and D. P. Lestari,2019,Speech Emotion Recognition for Indonesian Language Using Long Short-Term Memory,10.1109/IC3INA.2018.8629525,https://ieeexplore.ieee.org/document/8629525/
"N. H. A. H. Malim, S. Sagadevan and N. I. Ridzuwan",2019,Criminality recognition using machine learning on malay language tweets,,https://www.researchgate.net/profile/Saravanan-Sagadevan-2/publication/338901524_Criminality_Recognition_using_Machine_Learning_on_Malay_Language_Tweets/links/5e31d5a7a6fdccd965767026/Criminality-Recognition-using-Machine-Learning-on-Malay-Language-Tweets.pdf
T. L. Sutejo and D. P. Lestari,2019,Indonesia Hate Speech Detection Using Deep Learning,10.1109/IALP.2018.8629154,https://ieeexplore.ieee.org/document/8629154/
N. A. S. Abdullah and N. I. A. Rusli,2021,Multilingual sentiment analysis: A systematic literature review,10.47836/pjst.29.1.25,http://journals-jd.upm.edu.my/resources/files/Pertanika%20PAPERS/JST%20Vol.%2029%20(1)%20Jan.%202021/25%20JST-2180-2020.pdf
"N. S. A. Abu Bakar, R. A. Rahmat and U. F. Othman",2019,Polarity classification tool for sentiment analysis in Malay language,10.11591/ijai.v8.i3.pp258-263,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073563586&doi=10.11591%2fijai.v8.i3.pp258-263&partnerID=40&md5=f02c06757cad8b897cc90c8f910e4863
"D. I. Af'idah, R. Kusumaningrum and B. Surarso",2020,Long short term memory convolutional neural network for Indonesian sentiment analysis towards touristic destination reviews,10.1109/iSemantic50169.2020.9234210,https://ieeexplore.ieee.org/document/9234210/
"T. Al-Moslmi, N. Omar, M. Albared and A. Alshabi",2017,Enhanced Malay sentiment analysis with an ensemble classification machine learning approach,10.3923/jeasci.2017.5226.5232,https://www.researchgate.net/publication/321307643_Enhanced_Malay_Sentiment_Analysis_with_an_Ensemble_Classification_Machine_Learning_Approach
"A. Al-Saffar, S. Awang, H. Tao, N. Omar, W. Al-Saiagh and M. Al-bared",2018,Malay sentiment analysis based on combined classification approaches and Senti-lexicon algorithm,10.1371/journal.pone.0194852,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0194852
N. Apandi and N. Jamil,2017,An analysis of Malay language emotional speech corpus for emotion recognition system,10.1109/IEACON.2016.8067383,https://ieeexplore.ieee.org/document/8067383/
"M. A. Ayu, S. S. Wijaya and T. Mantoro",2019,An automatic lexicon generation for Indonesian news sentiment analysis: A case on governor elections in Indonesia,10.11591/ijeecs.v16.i3.pp1555-1561,https://www.researchgate.net/publication/339809658_An_automatic_lexicon_generation_for_indonesian_news_sentiment_analysis_a_case_on_governor_elections_in_Indonesia
"S. B. Bin Rodzman, M. Hanif Rashid, N. K. Ismail, N. Abd Rahman, S. A. Aljunid and H. Abd Rahman",2019,Experiment with lexicon based techniques on domain-specific Malay document sentiment analysis,10.1109/ISCAIE.2019.8743942,https://ieeexplore.ieee.org/document/8743942/
"G. A. Buntoro, R. Arifin, G. N. Syaifuddiin, A. Selamat, O. Krejcar and H. Fujita",2021,Implementation of a Machine Learning Algorithm for Sentiment Analysis of Indonesia‘s 2019 Presidential Election,10.31436/IIUMEJ.V22I1.1532,https://www.researchgate.net/profile/Ghulam-Buntoro/publication/348564229_IMPLEMENTATION_OF_A_MACHINE_LEARNING_ALGORITHM_FOR_SENTIMENT_ANALYSIS_OF_INDONESIA'S_2019_PRESIDENTIAL_ELECTION/links/6005285e45851553a0508a15/IMPLEMENTATION-OF-A-MACHINE-LEARNING-ALGORITHM-FOR-SENTIMENT-ANALYSIS-OF-INDONESIAS-2019-PRESIDENTIAL-ELECTION.pdf
A. Cahyadi and M. L. Khodra,2018,Aspect-Based Sentiment Analysis Using Convolutional Neural Network and Bidirectional Long Short-Term Memory,10.1109/ICAICTA.2018.8541300,https://ieeexplore.ieee.org/document/8541300/
K. Chekima and R. Alfred,2018,Sentiment Analysis of Malay Social Media Text,10.1007/978-981-10-8276-4_20,https://link.springer.com/chapter/10.1007/978-981-10-8276-4_20
"K. Chekima, R. Alfred and K. O. Chin",2018,Rule-Based Model for Malay Text Sentiment Analysis,10.1007/978-981-10-8276-4_17,https://link.springer.com/chapter/10.1007/978-981-10-8276-4_17
"M. Darwich, S. A. M. Noah and N. Omar",2017,Minimally-supervised sentiment lexicon induction model: A case study of malay sentiment analysis,10.1007/978-3-319-69456-6_19,https://link.springer.com/chapter/10.1007/978-3-319-69456-6_19
"F. Fahmi, M. A. Jiwanggi and M. Adriani",2020,Speech-Emotion Detection in an Indonesian Movie,,https://aclanthology.org/2020.sltu-1.26.pdf
M. A. Fauzi,2018,Random forest approach fo sentiment analysis in Indonesian language,10.11591/ijeecs.v12.i1.pp46-50,https://www.researchgate.net/profile/Muhammad-Fauzi-6/publication/327060733_Random_Forest_Approach_for_Sentiment_Analysis_in_Indonesian_Language/links/5d305ff3458515c11c39adfd/Random-Forest-Approach-for-Sentiment-Analysis-in-Indonesian-Language.pdf
M. Fikri and R. Sarno,2019,A comparative study of sentiment analysis using SVM and Senti Word Net,10.11591/ijeecs.v13.i3.pp902-909,http://ijeecs.iaescore.com/index.php/IJEECS/article/view/13333
"D. Handayani, N. S. A. A. Bakar, H. Yaacob and M. A. Abuzaraida",2018,Sentiment analysis for Malay language: systematic literature review,,https://ieeexplore.ieee.org/document/8567139
"H. Imaduddin, Widyawan and S. Fauziati",2019,Word embedding comparison for Indonesian language sentiment analysis,10.1109/ICAIIT.2019.8834536,https://ieeexplore.ieee.org/document/8834536/
"Imamah, Husni, E. M. Rachman, I. O. Suzanti and F. A. Mufarroha",2020,Text Mining and Support Vector Machine for Sentiment Analysis of Tourist Reviews in Bangkalan Regency,http://dx.doi.org/10.1088/1742-6596/1477/2/022023,https://iopscience.iop.org/article/10.1088/1742-6596/1477/2/022023/meta
A. T. Jaka Harjanta and B. A. Herlambang,2020,Extraction Sentiment Analysis Using naive Bayes Algorithm and Reducing Noise Word applied in Indonesian Language,10.1088/1757-899X/835/1/012051,https://iopscience.iop.org/article/10.1088/1757-899X/835/1/012051/meta
L. Kurniasari and A. Setyanto,2020,Sentiment analysis using recurrent neural network-lstm in bahasa Indonesia,,http://jestec.taylors.edu.my/Vol%2015%20issue%205%20October%202020/15_5_27.pdf
L. Kurniasari and A. Setyanto,2020,Sentiment Analysis using Recurrent Neural Network,http://dx.doi.org/10.1088/1742-6596/1471/1/012018,https://iopscience.iop.org/article/10.1088/1742-6596/1471/1/012018/meta
"R. Kurniawan, F. Lestari, A. S. Batubara, M. Z. A. Nazri, K. Rajab and R. Munir",2021,Indonesian Lexicon-Based Sentiment Analysis of Online Religious Lectures Review,10.1109/ICOTEN52080.2021.9493530,https://ieeexplore.ieee.org/document/9493530/
"T. A. Le, D. Moeljadi, Y. Miura and T. Ohkuma",2016,Sentiment analysis for low resource languages: A study on informal Indonesian tweets,,https://aclanthology.org/W16-5415.pdf
S. L. Mahfiz and A. Romadhony,2020,Aspect-based Opinion Mining on Beauty Product Reviews,10.1109/ISRITI51436.2020.9315350,https://ieeexplore.ieee.org/document/9315350/
"L. P. Manik, H. Febri Mustika, Z. Akbar, Y. A. Kartika, D. Ridwan Saleh, F. A. Setiawan and I. Atman Satya",2020,Aspect-Based Sentiment Analysis on Candidate Character Traits in Indonesian Presidential Election,10.1109/ICRAMET51080.2020.9298595,https://ieeexplore.ieee.org/document/9298595/
"P. F. Muhammad, R. Kusumaningrum and A. Wibowo",2021,Sentiment Analysis Using Word2vec and Long Short-Term Memory (LSTM) for Indonesian Hotel Reviews,10.1016/j.procs.2021.01.061,https://www.sciencedirect.com/science/article/pii/S1877050921000752
"N. A. Nasharuddin, M. T. Abdullah, A. Azman and R. A. Kadir",2017,English and Malay cross-lingual sentiment lexicon acquisition and analysis,10.1007/978-981-10-4154-9_54,https://link.springer.com/chapter/10.1007/978-981-10-4154-9_54
"R. P. Nawangsari, R. Kusumaningrum and A. Wibowo",2019,Word2vec for Indonesian sentiment analysis towards hotel reviews: An evaluation study,10.1016/j.procs.2019.08.178,https://www.sciencedirect.com/science/article/pii/S1877050919310968
A. M. Ningtyas and G. B. Herwanto,2018,The Influence of Negation Handling on Sentiment Analysis in Bahasa Indonesia,10.1109/ICODSE.2018.8705802,https://ieeexplore.ieee.org/document/8705802/
"Y. Nurdiansyah, S. Bukhori and R. Hidayat",2018,Sentiment analysis system for movie review in Bahasa Indonesia using naive bayes classifier method,http://dx.doi.org/10.1088/1742-6596/1008/1/012011,https://iopscience.iop.org/article/10.1088/1742-6596/1008/1/012011/meta
E. W. Pamungkas and D. G. P. Putri,2017,An experimental study of lexicon-based sentiment analysis on Bahasa Indonesia,10.1109/INAES.2016.7821901,https://ieeexplore.ieee.org/document/7821901/
"B. T. Pratama, E. Utami and A. Sunyoto",2019,A comparison of the use of several different resources on lexicon based Indonesian sentiment analysis on app review dataset,10.1109/ICAIIT.2019.8834531,https://ieeexplore.ieee.org/document/8834531/
"D. Riyanti, M. A. Bijaksana and Adiwijaya",2018,Automatic Semantic Orientation of Adjectives for Indonesian Language Using PMI-IR and Clustering,10.1088/1742-6596/971/1/012052,https://iopscience.iop.org/article/10.1088/1742-6596/971/1/012052/meta
"M. M. Saad, N. Jamil and R. Hamzah",2018,Evaluation of support vector machine and decision tree for emotion recognition of malay folklores,10.11591/eei.v7i3.1279,https://www.beei.org/index.php/EEI/article/view/1279
"D. H. Sasmita, A. F. Wicaksono, S. Louvan and M. Adriani",2018,Unsupervised aspect-based sentiment analysis on Indonesian restaurant reviews,10.1109/IALP.2017.8300623,https://ieeexplore.ieee.org/document/8300623/
"Y. Setiowati, A. Djunaidy and D. O. Siahaan",2019,Pair Extraction of Aspect and Implicit Opinion Word based on its Co-occurrence in Corpus of Bahasa Indonesia,10.1109/ISRITI48646.2019.9034672,https://ieeexplore.ieee.org/document/9034672/
T. Sutabri and M. Ardiansyah,2017,Framework of sentiment annotation for document specification in Indonesian language base on topic modeling and machine learning,10.1109/CITSM.2017.8089251,https://ieeexplore.ieee.org/document/8089251/
T. Warnita and D. P. Lestari,2017,Identifying deception in Indonesian transcribed interviews through lexical-based approach,,https://aclanthology.org/Y17-1022/
N. I. Widiastuti and M. I. Ali,2021,Elman recurrent neural network for aspect based sentiment analysis,,https://jestec.taylors.edu.my/Vol%2016%20issue%203%20June%202021/16_3_10.pdf
